Order_id,Order_date,Customer_id,Region,Product,Cost,Sales,Profit,Year,Month
2,03-31-23,4973,South,Keyboard,675.54,1070.48,394.94,2023,3
4,01-18-23,6317,East,Headphones,352.82,745.75,392.93,2023,1
5,10-01-23,6141,South,Keyboard,729.79,1149.35,419.56,2023,10
7,08-27-23,2205,South,Keyboard,393.45,405.31,11.86,2023,8
8,04-28-23,1277,East,Tablet,214.77,570.89,356.12,2023,4
9,05-26-23,7953,West,Monitor,736.12,1118.18,382.06,2023,5
11,12-25-23,5895,East,Monitor,472.95,644.41,171.46,2023,12
12,03-04-23,4160,East,Keyboard,215.77,286.51,70.74,2023,3
13,03-25-23,5035,East,Tablet,295.2,634.92,339.72,2023,3
17,07-14-23,3286,North,Keyboard,518.73,929.33,410.6,2023,7
18,09-26-23,8830,South,Phone,805.51,898.07,92.56,2023,9
19,12-30-23,3979,East,Monitor,793.31,1188.68,395.37,2023,12
20,07-10-23,2956,East,Monitor,856.81,966.12,109.31,2023,7
22,01-09-23,5848,West,Phone,585.22,741.84,156.62,2023,1
23,07-29-23,2973,East,Headphones,480.64,957.29,476.65,2023,7
27,09-20-23,2661,North,Headphones,242.73,598.43,355.7,2023,9
28,12-16-23,3668,North,Tablet,209.65,331.76,122.11,2023,12
29,09-06-23,3668,North,Keyboard,439.64,632.94,193.3,2023,9
31,01-08-23,8601,South,Phone,475.92,948.52,472.6,2023,1
32,04-11-23,1381,South,Tablet,808.97,977.41,168.44,2023,4
33,10-04-23,8453,North,Phone,329.21,491.62,162.41,2023,10
34,12-06-23,5534,East,Tablet,351.88,420.85,68.97,2023,12
35,12-31-23,1121,West,Monitor,757.16,940.38,183.22,2023,12
36,01-25-23,1680,North,Phone,737.9,815.05,77.15,2023,1
39,12-11-23,4402,East,Phone,130.9,328.83,197.93,2023,12
40,03-17-23,2891,North,Tablet,363.66,785.36,421.7,2023,3
41,07-18-23,7029,East,Keyboard,156.41,434.05,277.64,2023,7
42,04-05-23,8269,West,Tablet,946.83,1372.83,426,2023,4
43,11-28-23,9776,South,Monitor,809.22,1210.06,400.84,2023,11
44,01-01-23,2595,South,Keyboard,991,1413.01,422.01,2023,1
46,07-08-23,5772,West,Monitor,836.44,985.85,149.41,2023,7
47,12-28-23,1345,West,Phone,332.8,680.56,347.76,2023,12
48,12-21-23,7334,East,Monitor,203.67,520.39,316.72,2023,12
50,05-02-23,4539,East,Laptop,177.26,547.59,370.33,2023,5
53,03-19-23,4013,South,Keyboard,197.87,407.58,209.71,2023,3
54,08-21-23,1164,West,Laptop,205.6,382.74,177.14,2023,8
55,02-14-23,4316,North,Laptop,699.04,843.38,144.34,2023,2
56,05-24-23,5242,South,Monitor,829.58,1113.86,284.28,2023,5
57,05-01-23,4264,North,Monitor,288.08,408.89,120.81,2023,5
58,10-08-23,6327,South,Keyboard,950.22,1183.97,233.75,2023,10
60,07-25-23,2959,West,Phone,403.22,617.94,214.72,2023,7
61,03-01-23,4682,West,Tablet,820.94,1018.78,197.84,2023,3
63,05-30-23,2777,North,Phone,946.88,1347.84,400.96,2023,5
64,08-04-23,2244,West,Keyboard,182.81,243.64,60.83,2023,8
65,01-14-23,6396,North,Keyboard,769.06,888.38,119.32,2023,1
66,09-22-23,4116,East,Phone,161.16,274.27,113.11,2023,9
69,08-07-23,6503,East,Keyboard,407.14,741.26,334.12,2023,8
70,06-06-23,6185,East,Laptop,714.65,803.21,88.56,2023,6
72,01-01-23,3359,North,Tablet,886.96,1008.38,121.42,2023,1
73,07-15-23,7861,West,Keyboard,256.07,362.65,106.58,2023,7
77,11-03-23,4733,South,Keyboard,600.83,613.31,12.48,2023,11
78,11-25-23,7657,West,Keyboard,827.13,925.22,98.09,2023,11
79,06-07-23,9588,South,Monitor,585.93,672.1,86.17,2023,6
80,02-26-23,8612,East,Headphones,201.94,325.35,123.41,2023,2
81,05-25-23,9484,West,Laptop,939.79,1422.18,482.39,2023,5
83,02-28-23,8604,East,Monitor,381.22,618.3,237.08,2023,2
84,08-07-23,1426,East,Keyboard,636.52,972.55,336.03,2023,8
85,05-17-23,4648,North,Monitor,180.31,398.2,217.89,2023,5
87,05-22-23,7095,South,Keyboard,697.57,1139.06,441.49,2023,5
88,12-29-23,3414,West,Laptop,787.77,932.56,144.79,2023,12
89,12-23-23,9622,East,Headphones,634.59,694.18,59.59,2023,12
90,09-16-23,5694,West,Laptop,908.98,1188.64,279.66,2023,9
92,02-22-23,3099,North,Headphones,844.45,1245.48,401.03,2023,2
93,04-16-23,2792,West,Tablet,369.12,667.71,298.59,2023,4
94,01-24-23,1840,East,Monitor,612.43,650.86,38.43,2023,1
96,04-15-23,1876,West,Laptop,455.9,608.35,152.45,2023,4
99,09-05-23,6358,East,Tablet,369.19,575.27,206.08,2023,9
102,12-18-23,5401,South,Phone,316.48,605.08,288.6,2023,12
104,08-11-23,1021,North,Monitor,613.23,980,366.77,2023,8
105,09-05-23,5648,North,Phone,169.25,556.97,387.72,2023,9
106,11-22-23,2897,South,Tablet,790.22,903.42,113.2,2023,11
107,03-12-23,8183,North,Headphones,398.89,741.68,342.79,2023,3
108,06-08-23,5930,West,Keyboard,174.45,216.03,41.58,2023,6
109,02-23-23,6713,East,Tablet,876.32,1195.12,318.8,2023,2
110,11-27-23,4660,South,Monitor,146.56,372.11,225.55,2023,11
112,05-04-23,5009,South,Headphones,629.47,773.07,143.6,2023,5
113,08-14-23,7609,North,Phone,179.56,605.44,425.88,2023,8
114,12-26-23,2983,North,Laptop,392.65,715.05,322.4,2023,12
115,01-11-23,4745,North,Keyboard,577.49,781.74,204.25,2023,1
118,01-16-23,7490,South,Laptop,383.25,772.88,389.63,2023,1
119,08-22-23,7353,North,Headphones,614.79,919.08,304.29,2023,8
121,03-16-23,3677,West,Headphones,135.62,467.94,332.32,2023,3
123,10-27-23,5251,East,Tablet,268.1,757.78,489.68,2023,10
124,01-17-23,7499,East,Phone,933.67,1076.63,142.96,2023,1
125,04-29-23,5908,North,Monitor,281.39,428.58,147.19,2023,4
126,03-28-23,3982,West,Monitor,163.39,491.63,328.24,2023,3
127,03-25-23,6599,North,Phone,707.15,1062.62,355.47,2023,3
128,03-16-23,9554,West,Monitor,476.41,826.28,349.87,2023,3
130,10-10-23,8370,East,Phone,592.4,811.15,218.75,2023,10
131,10-26-23,8158,North,Monitor,464.1,940.18,476.08,2023,10
